lat,lon
35.56,139.72
35.15,137.30
35.79,137.05
35.86,129.22
34.73,136.52
35.79,137.05
35.68,139.76
35.43,139.37
35.00,137.25
35.00,137.25
35.10,137.10
35.98,139.42
35.43,139.37
35.10,137.10
35.19,136.90
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.86,129.22
35.27,137.01
34.82,137.07
35.06,137.01
35.17,136.87
35.31,136.93
35.68,139.76
35.00,137.25
35.00,137.25
35.43,139.37
35.98,139.42
35.00,137.25
35.68,139.76
35.79,137.05
35.10,137.10
34.95,137.26
34.95,137.26
35.86,129.22
35.27,137.01
35.00,137.25
35.00,137.25
35.98,139.42
35.19,136.90
35.68,139.76
35.10,137.10
35.15,137.30
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.86,129.22
35.19,136.90
35.19,136.90
35.00,137.25
35.17,136.96
35.17,136.96
35.55,140.26
35.98,139.42
35.17,136.96
35.68,139.76
34.82,137.07
35.68,139.76
35.68,139.76
35.68,139.76
35.10,137.10
35.10,137.10
35.07,136.68
35.15,137.30
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.24,137.12
35.86,129.22
35.27,137.01
35.27,137.01
35.79,137.05
35.68,139.76
35.43,139.37
35.19,136.90
35.19,136.90
35.98,139.42
35.19,136.90
35.98,139.42
35.24,137.12
35.24,137.12
35.24,137.12
35.98,139.42
35.10,137.10
35.07,136.68
35.15,137.30
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.24,137.12
35.14,137.05
35.17,136.96
35.17,136.96
35.11,136.97
35.79,137.05
35.10,137.10
35.07,136.68
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.30,136.81
35.31,136.93
35.15,137.30
33.55,133.43
35.44,139.64
35.07,136.68
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.27,137.01
35.19,136.90
35.98,139.42
35.53,139.70
35.15,136.94
35.17,136.96
35.17,136.96
35.17,134.29
35.10,137.10
35.17,136.96
35.00,137.25
35.79,137.05
35.60,139.74
35.15,137.30
35.10,137.10
35.07,136.68
35.15,137.30
35.15,137.30
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.15,137.30
35.24,137.12
35.10,137.10
35.27,137.01
35.27,137.01
34.83,137.38
35.98,139.42
35.00,137.25
35.10,137.04
35.45,139.39
35.98,139.42
35.15,136.94
34.74,135.34
32.14,120.43
35.17,136.91
35.10,137.10
35.15,137.30
35.15,137.30
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.15,137.30
35.24,137.12
35.19,136.90
35.27,137.01
35.19,136.90
34.07,134.56
35.19,136.79
35.80,139.47
34.71,135.51
35.77,139.68
35.15,136.94
35.16,137.01
35.15,136.94
35.12,136.78
35.44,139.39
35.56,139.72
35.10,137.10
35.07,136.68
35.15,137.30
35.15,137.30
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.15,137.30
35.24,137.12
35.62,138.47
35.62,138.47
35.19,136.90
35.15,137.30
35.86,139.65
35.15,136.94
35.15,136.94
35.11,136.97
35.83,139.81
36.15,139.39
35.15,136.94
35.44,139.39
35.56,139.72
35.19,136.90
35.44,139.64
32.14,120.43
35.19,136.90
35.10,137.10
35.07,136.68
35.15,137.30
35.15,137.30
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.15,137.30
35.24,137.12
35.27,137.01
35.19,136.90
35.27,137.01
35.37,139.39
35.30,136.81
35.17,136.96
34.90,136.84
35.36,139.32
35.10,137.10
35.07,136.68
35.15,137.30
35.15,137.30
35.15,137.30
35.10,137.10
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.15,137.30
35.68,139.77
36.58,136.65
39.86,116.50
35.51,139.72
35.15,136.94
35.27,137.01
35.10,137.10
35.10,137.10
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.10,137.04
35.17,136.96
34.23,132.64
35.07,136.68
35.10,137.10
34.95,137.26
34.95,137.26
35.15,137.30
35.19,136.90
34.71,137.85
35.10,137.10
-5.21,-45.39
35.56,139.72
35.12,136.78
37.58,126.91
35.53,139.70
35.10,137.04
35.60,139.74
35.17,136.96
35.10,137.10
